2025-11-28 00:35:44 | INFO | root | Purifying autoattack on thubenchmark with eegnet
2025-11-28 00:35:44 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', fold=0, attack='autoattack', batch_size=32, seed=42, gpu_id=0, config='PTR_8_2048_rank16.yaml', sample_num=512)
2025-11-28 00:35:44 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-11-28 00:35:45 | INFO | root | Dataset: thubenchmark
2025-11-28 00:35:45 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-11-28 00:35:45 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-28 00:35:45 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-11-28 00:35:45 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-28 00:35:46 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 64, 1500]), clean_data shape: torch.Size([512, 1, 64, 1500])
2025-11-28 00:35:46 | INFO | root | Model: eegnet, fold: 0
2025-11-28 00:35:46 | INFO | root | Adversarial data accuracy: 0.177734375, loss: 5.099132791161537
2025-11-28 00:35:46 | INFO | root | Clean data accuracy: 0.927734375, loss: 0.21533196786185727
2025-11-28 00:35:46 | INFO | root | Purifying data 0, original shape: torch.Size([64, 1500, 1]), new shape: torch.Size([64, 1920, 1])
2025-11-28 00:35:46 | INFO | root | End purification for resolution 8*8, loss=0.10255952924489975
2025-11-28 00:35:46 | INFO | root | End purification for resolution 16*16, loss=0.27384403347969055
2025-11-28 00:35:47 | INFO | root | End purification for resolution 32*32, loss=0.42522498965263367
2025-11-28 00:35:47 | INFO | root | End purification for resolution 64*64, loss=0.34757596254348755
2025-11-28 00:35:47 | INFO | root | Training time: 1.008587121963501, loss: 0.34757596254348755, params_num: 13824
2025-11-28 00:35:47 | INFO | root | 
2025-11-28 00:35:47 | INFO | root | Purifying data 1, original shape: torch.Size([64, 1500, 1]), new shape: torch.Size([64, 1920, 1])
2025-11-28 00:35:47 | INFO | root | End purification for resolution 8*8, loss=0.15234941244125366
2025-11-28 00:35:47 | INFO | root | End purification for resolution 16*16, loss=0.2976780831813812
2025-11-28 00:35:48 | INFO | root | End purification for resolution 32*32, loss=0.39059653878211975
2025-11-28 00:35:48 | INFO | root | End purification for resolution 64*64, loss=0.3194967210292816
2025-11-28 00:35:48 | INFO | root | Training time: 1.0262398719787598, loss: 0.3194967210292816, params_num: 13824
2025-11-28 00:35:48 | INFO | root | 
2025-11-28 00:35:48 | INFO | root | Purifying data 2, original shape: torch.Size([64, 1500, 1]), new shape: torch.Size([64, 1920, 1])
2025-11-28 00:35:48 | INFO | root | End purification for resolution 8*8, loss=0.06185983121395111
2025-11-28 00:35:48 | INFO | root | End purification for resolution 16*16, loss=0.1936732977628708
2025-11-28 00:35:49 | INFO | root | End purification for resolution 32*32, loss=0.37823736667633057
2025-11-28 00:35:49 | INFO | root | End purification for resolution 64*64, loss=0.39455950260162354
2025-11-28 00:35:49 | INFO | root | Training time: 0.9686973094940186, loss: 0.39455950260162354, params_num: 13824
2025-11-28 00:35:49 | INFO | root | 
2025-11-28 00:35:49 | INFO | root | Purifying data 3, original shape: torch.Size([64, 1500, 1]), new shape: torch.Size([64, 1920, 1])
2025-11-28 00:35:49 | INFO | root | End purification for resolution 8*8, loss=0.15735827386379242
2025-11-28 00:35:49 | INFO | root | End purification for resolution 16*16, loss=0.3603072166442871
2025-11-28 00:35:50 | INFO | root | End purification for resolution 32*32, loss=0.4502687156200409
2025-11-28 00:35:50 | INFO | root | End purification for resolution 64*64, loss=0.2994224727153778
2025-11-28 00:35:50 | INFO | root | Training time: 0.9614343643188477, loss: 0.2994224727153778, params_num: 13824
2025-11-28 00:35:50 | INFO | root | 
2025-11-28 00:35:50 | INFO | root | Purifying data 4, original shape: torch.Size([64, 1500, 1]), new shape: torch.Size([64, 1920, 1])
2025-11-28 00:35:50 | INFO | root | End purification for resolution 8*8, loss=0.09440506994724274
2025-11-28 00:35:50 | INFO | root | End purification for resolution 16*16, loss=0.25248491764068604
2025-11-28 00:35:51 | INFO | root | End purification for resolution 32*32, loss=0.4119318425655365
2025-11-28 00:35:51 | INFO | root | End purification for resolution 64*64, loss=0.3449755609035492
2025-11-28 00:35:51 | INFO | root | Training time: 0.9609177112579346, loss: 0.3449755609035492, params_num: 13824
2025-11-28 00:35:51 | INFO | root | 
2025-11-28 00:35:51 | INFO | root | Purifying data 5, original shape: torch.Size([64, 1500, 1]), new shape: torch.Size([64, 1920, 1])
2025-11-28 00:35:51 | INFO | root | End purification for resolution 8*8, loss=0.14327943325042725
2025-11-28 00:35:51 | INFO | root | End purification for resolution 16*16, loss=0.2865946590900421
2025-11-28 00:35:52 | INFO | root | End purification for resolution 32*32, loss=0.41520875692367554
2025-11-28 00:35:52 | INFO | root | End purification for resolution 64*64, loss=0.33865323662757874
2025-11-28 00:35:52 | INFO | root | Training time: 0.9571483135223389, loss: 0.33865323662757874, params_num: 13824
2025-11-28 00:35:52 | INFO | root | 
2025-11-28 00:35:52 | INFO | root | Purifying data 6, original shape: torch.Size([64, 1500, 1]), new shape: torch.Size([64, 1920, 1])
2025-11-28 00:35:52 | INFO | root | End purification for resolution 8*8, loss=0.10094039142131805
2025-11-28 00:35:52 | INFO | root | End purification for resolution 16*16, loss=0.25767144560813904
2025-11-28 00:35:53 | INFO | root | End purification for resolution 32*32, loss=0.3978451192378998
2025-11-28 00:35:53 | INFO | root | End purification for resolution 64*64, loss=0.3503987491130829
2025-11-28 00:35:53 | INFO | root | Training time: 0.9510741233825684, loss: 0.3503987491130829, params_num: 13824
2025-11-28 00:35:53 | INFO | root | 
2025-11-28 00:35:53 | INFO | root | Purifying data 7, original shape: torch.Size([64, 1500, 1]), new shape: torch.Size([64, 1920, 1])
2025-11-28 00:35:53 | INFO | root | End purification for resolution 8*8, loss=0.11076480895280838
2025-11-28 00:35:53 | INFO | root | End purification for resolution 16*16, loss=0.2660525143146515
2025-11-28 00:35:53 | INFO | root | End purification for resolution 32*32, loss=0.4125373959541321
2025-11-28 00:35:54 | INFO | root | End purification for resolution 64*64, loss=0.3439205586910248
2025-11-28 00:35:54 | INFO | root | Training time: 0.9550285339355469, loss: 0.3439205586910248, params_num: 13824
2025-11-28 00:35:54 | INFO | root | 
2025-11-28 00:35:54 | INFO | root | Purifying data 8, original shape: torch.Size([64, 1500, 1]), new shape: torch.Size([64, 1920, 1])
2025-11-28 00:35:54 | INFO | root | End purification for resolution 8*8, loss=0.12378990650177002
2025-11-28 00:35:54 | INFO | root | End purification for resolution 16*16, loss=0.26701095700263977
2025-11-28 00:35:54 | INFO | root | End purification for resolution 32*32, loss=0.3925555646419525
2025-11-28 00:35:55 | INFO | root | End purification for resolution 64*64, loss=0.36003926396369934
2025-11-28 00:35:55 | INFO | root | Training time: 0.9526777267456055, loss: 0.36003926396369934, params_num: 13824
2025-11-28 00:35:55 | INFO | root | 
